No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
840	Erbium bromide	ErBr3	13536-73-7	406.97	viol hyg cry	923				s H2O	
841	Erbium chloride	ErCl3	10138-41-7	273.62	viol monocl cry; hyg	776		4.1		s H2O	
842	Erbium chloride hexahydrate	ErCl3  6H2O	10025-75-9	381.71	pink hyg cry	dec				s H2O; sl EtOH	
843	Erbium fluoride	ErF3	13760-83-3	224.26	pink orth cry	1147		7.8		i H2O	
844	Erbium hydride	ErH3	13550-53-3	170.28	hex cry			7.6			
845	Erbium iodide	ErI3	13813-42-8	547.97	viol hex cry; hyg	1014		5.5		s H2O	
846	Erbium nitrate pentahydrate	Er(NO3)3  5H2O	10168-80-6*	443.35	red cry	130 dec			240.825	s EtOH, ace	
847	Erbium nitride	ErN	12020-21-2	181.27	cub cry			10.6			
848	Erbium oxide	Er2O3	12061-16-4	382.52	pink powder	2344	3920	8.64		i H2O; s acid	
849	Erbium silicide	ErSi2	12020-28-9	223.43	orth cry			7.26			
850	Erbium sulfate	Er2(SO4)3	13478-49-4	622.71	hyg powder	dec		3.68	1320		
851	Erbium sulfate octahydrate	Er2(SO4)3  8H2O	10031-52-4	766.83	pink monocl cry	dec		3.2	1320		
852	Erbium sulfide	Er2S3	12159-66-9	430.72	red-brn monocl cry	1730		6.07			
853	Erbium telluride	Er2Te3	12020-39-2	717.32	orth cry	1213		7.11			
854	Europium	Eu	7440-53-1	151.964	soft silv metal; cub	822	1529	5.24		reac H2O	
855	Europium boride	EuB6	12008-05-8	216.83	cub cry	2600		4.91			
856	Europium nitride	EuN	12020-58-5	165.971	cub cry			8.7			
857	Europium silicide	EuSi2	12434-24-1	208.135	tetr cry	1500		5.46			
858	Europium(II) bromide	EuBr2	13780-48-8	311.772	wh cry	683				s H2O	
859	Europium(II) chloride	EuCl2	13769-20-5	222.869	wh orth cry	731		4.9		s H2O	
860	Europium(II) fluoride	EuF2	14077-39-5	189.961	grn-yel cub cry	1380		6.5			
861	Europium(II) iodide	EuI2	22015-35-6	405.773	grn cry	580				s H2O	
862	Europium(II) selenide	EuSe	12020-66-5	230.92	brn cub cry			6.45			
863	Europium(II) sulfate	EuSO4	10031-54-6	248.028	col orth cry			4.99		i H2O	
864	Europium(II) sulfide	EuS	12020-65-4	184.03	cub cry			5.7			
865	Europium(II) telluride	EuTe	12020-69-8	279.56	blk cub cry	1526		6.48			
866	Europium(III) bromide	EuBr3	13759-88-1	391.676	gray cry	dec				s H2O	
867	Europium(III) chloride	EuCl3	10025-76-0	258.322	grn-yel needles	623		4.89			
868	Europium(III) chloride hexahydrate	EuCl3  6H2O	13759-92-7	366.413	wh-yel hyg cry	850		4.89		s H2O	
869	Europium(III) fluoride	EuF3	13765-25-8	208.959	wh hyg cry	1276				i H2O	
870	Europium(III) nitrate hexahydrate	Eu(NO3)3  6H2O	10031-53-5	446.07	wh-pink hyg cry	85 dec			19325		
871	Europium(III) oxide	Eu2O3	1308-96-9	351.926	pink powder	2291	3790	7.42		i H2O; s acid	
872	Europium(III) sulfate	Eu2(SO4)3	13537-15-0	592.119	pale pink cry			4.99	2.12		
873	Europium(III) sulfate octahydrate	Eu2(SO4)3  8H2O	10031-52-4	736.241	pink cry	375 dec			2.12		
874	Fermium	Fm	7440-72-4	257	metal	1527					
875	Fluorine	F2	7782-41-4	37.997	pale yel gas	-219.67 tp	-188.12	1.553 g/L		reac H2O	
876	Fluorine monoxide	F2O	7783-41-7	53.996	col gas	-223.8	-144.75	2.207 g/L		sl H2O	
877	Fluorine dioxide	F2O2	7783-44-0	69.996	gas, stable only at low temp	-154	-57	2.861 g/L			
878	Fluorine nitrate	FNO3	7789-26-6	81.003	col gas	-175	-46	3.311 g/L		reac H2O, EtOH, eth; s ace	
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
879	Fluorine perchlorate	FOClO3	10049-03-3	118.449	col gas; exp	-167.3	-16	4.841 g/L		reac H2O	
880	Francium	Fr	7440-73-5	223	short-lived alkali metal	27					
881	Gadolinium	Gd	7440-54-2	157.25	silv metal; hex	1313	3273	7.9		s dil acid	
882	Gadolinium boride	GdB6	12008-06-9	222.12	blk-brn cub cry	2510		5.31			
883	Gadolinium nitride	GdN	25764-15-2	171.26	cub cry			9.1			
884	Gadolinium silicide	GdSi2	12134-75-7	213.42	orth cry			5.9			
885	Gadolinium(II) iodide	GdI2	13814-72-7	411.06	bronze cry	831					
886	Gadolinium(II) selenide	GdSe	12024-81-6	236.21	cub cry	2170		8.1			
887	Gadolinium(III) bromide	GdBr3	13818-75-2	396.96	wh monocl cry; hyg	770		4.56			
888	Gadolinium(III) chloride	GdCl3	10138-52-0	263.61	wh monocl cry; hyg	609		4.52		s H2O	
889	Gadolinium(III) chloride hexahydrate	GdCl3  6H2O	19423-81-5	371.7	col hyg cry			2.424		s H2O	
890	Gadolinium(III) fluoride	GdF3	13765-26-9	214.25	wh cry	1231					
891	Gadolinium(III) iodide	GdI3	13572-98-0	537.96	yel cry	925					
892	Gadolinium(III) nitrate hexahydrate	Gd(NO3)3  6H2O	19598-90-4	451.36	hyg tricl cry	91 dec		2.33	19025	s EtOH	
893	Gadolinium(III) nitrate pentahydrate	Gd(NO3)3  5H2O	52788-53-1	433.34	wh cry	92 dec		2.41	19025		
894	Gadolinium(III) oxide	Gd2O3	12064-62-9	362.5	wh hyg powder	2339	3900	7.07		i H2O; s acid	
895	Gadolinium(III) sulfate octahydrate	Gd2(SO4)3  8H2O	13450-87-8	746.81	col monocl cry	400 dec		4.14	2.32		
896	Gadolinium(III) sulfide	Gd2S3	12134-77-9	410.7	yel cub cry			6.1			
897	Gadolinium(III) telluride	Gd2Te3	12160-99-5	697.3	orth cry	1255		7.7			
898	Gallium	Ga	7440-55-3	69.723	silv liq or gray orth cry	29.7666 tp	2204	5.91		reac alk	
899	Gallium antimonide	GaSb	12064-03-8	191.483	cub cry	712		5.6137			
900	Gallium arsenide	GaAs	1303-00-0	144.645	gray cub cry	1238		5.3176			
901	Gallium nitride	GaN	25617-97-4	83.73	gray hex cry	>2500		6.1			
902	Gallium phosphide	GaP	12063-98-8	100.697	yel cub cry	1457		4.138			
903	Gallium suboxide	Ga2O	12024-20-3	155.445	brn powder	>660	>800 dec	4.77			
904	Gallium(II) chloride	GaCl2	24597-12-4	140.628	wh orth cry	172.4	535	2.74			
905	Gallium(II) selenide	GaSe	12024-11-2	148.68	hex cry	960		5.03			
906	Gallium(II) sulfide	GaS	12024-10-1	101.789	hex cry	965		3.86			
907	Gallium(II) telluride	GaTe	12024-14-5	197.32	monocl cry	824		5.44			
908	Gallium(III) 2,4-pentanedioate	Ga(CH3COCHCOCH3)3	14405-43-7	367.047	wh powder	193	subl	1.42			
909	Gallium(III) bromide	GaBr3	13450-88-9	309.435	wh orth cry	121.5	279	3.69			
910	Gallium(III) chloride	GaCl3	13450-90-3	176.081	col needles or gl solid	77.9	201	2.47			
911	Gallium(III) fluoride	GaF3	7783-51-9	126.718	wh powder or col needles	>1000		4.47		i H2O	
912	Gallium(III) fluoride trihydrate	GaF3  3H2O	22886-66-4	180.764	wh cry	>140 dec				sl H2O	
913	Gallium(III) hydride	GaH3	13572-93-5	72.747	visc liq	-15	0 dec				
914	Gallium(III) hydroxide	Ga(OH)3	12023-99-3	120.745	unstable prec						
915	Gallium(III) iodide	GaI3	13450-91-4	450.436	monocl cry	212	340	4.5			
916	Gallium(III) nitrate	Ga(NO3)3	13494-90-1	255.738	wh cry powder					s H2O, EtOH, eth	
917	Gallium(III) oxide	Ga2O3	12024-21-4	187.444	wh cry	1806		6.0		s hot acid	
918	Gallium(III) oxide hydroxide	GaOOH	20665-52-5	102.73	orth cry			5.23			
919	Gallium(III) selenide	Ga2Se3	12024-24-7	376.33	cub cry	937		4.92			
920	Gallium(III) sulfate	Ga2(SO4)3	13494-91-2	427.637	hex cry						
921	Gallium(III) sulfate octadecahydrate	Ga2(SO4)3  18H2O	13780-42-2	751.912	octahed cry					s H2O, EtOH	
922	Gallium(III) sulfide	Ga2S3	12024-22-5	235.644	monocl cry	1090		3.7			
923	Gallium(III) telluride	Ga2Te3	12024-27-0	522.25	cub cry	790		5.57			
											
924	Germanium	Ge	7440-56-4	72.61	gray-wh cub cry	938.25	2833	5.3234		i H2O, dil acid, alk	
925	Germane	GeH4	7782-65-2	76.64	col gas; flam	-165	-88.1	3.133 g/L		i H2O	
926	Digermane	Ge2H6	13818-89-8	151.27	col liq; flam	-109	29	1.98-109			
927	Trigermane	Ge3H8	14691-44-2	225.89	col liq	-105.6	110.5	2.20-105		i H2O	
928	Tetragermane	Ge4H10	14691-47-5	300.52	col liq		176.9			i H2O	
929	Pentagermane	Ge5H12	15587-39-0	375.15	col liq		234			i H2O	
930	Bromogermane	GeH3Br	13569-43-2	155.54	col liq	-32	52	2.34		reac H2O	
931	Chlorogermane	GeH3Cl	13637-65-5	111.09	col liq	-52	28	1.75		reac H2O	
932	Chlorotrifluorogermane	GeF3Cl	14188-40-0	165.06	gas	-66.2	-20.3	6.747 g/L			
933	Dibromogermane	GeH2Br2	13769-36-3	234.43	col liq	-15	89	2.8		reac H2O	
934	Dichlorogermane	GeH2Cl2	15230-48-5	145.53	col liq	-68	69.5	1.9		reac H2O	
935	Dichlorodifluorogermane	GeF2Cl2	24422-21-7	181.51	col gas	-51.8	-2.8	7.419 g/L			
936	Fluorogermane	GeH3F	13537-30-9	94.63	col gas			3.868 g/L		reac H2O	
937	Iodogermane	GeH3I	13573-02-9	202.54	liq	-15	90			reac H2O	
938	Tribromogermane	GeHBr3	14779-70-5	313.33	col liq	-25	dec			reac H2O	
939	Trichlorogermane	GeHCl3	1184-65-2	179.98	liq	-71	75.3	1.93		reac H2O	
940	Trichlorofluorogermane	GeCl3F	24422-20-6	197.97	liq	-49.8	37.5				
941	Methylgermane	GeH3CH3	1449-65-6	90.67	col gas	-158	-23	3.706 g/L			
942	Germanium(II) bromide	GeBr2	24415-00-7	232.42	yel monocl cry	122	150 dec			reac H2O	
943	Germanium(II) chloride	GeCl2	10060-11-4	143.51	wh-yel hyg powder	dec				reac H2O; s eth, bz	
944	Germanium(II) fluoride	GeF2	13940-63-1	110.61	wh orth cry; hyg	110	130 dec	3.64		reac H2O	
945	Germanium(II) iodide	GeI2	13573-08-5	326.42	oran-yel hex cry	550 dec		5.4		reac H2O	
946	Germanium(II) oxide	GeO	20619-16-3	88.61	blk solid	700 dec					
947	Germanium(II) selenide	GeSe	12065-10-0	151.57	gray orth cry or brn powder	667		5.6			
948	Germanium(II) sulfide	GeS	12025-32-0	104.68	gray orth cry	615		4.1			
949	Germanium(II) telluride	GeTe	12025-39-7	200.21	cub cry	725		6.16		i H2O; s conc HNO3	
950	Germanium(IV) bromide	GeBr4	13450-92-5	392.23	wh cry	26.1	186.35	3.132		reac H2O	
951	Germanium(IV) chloride	GeCl4	10038-98-9	214.42	col liq	-51.5	86.55	1.88		reac H2O; s bz, eth, EtOH, ctc	
952	Germanium(IV) fluoride	GeF4	7783-58-6	148.6	col gas	-15 tp	-36.5 sp	6.074 g/L		reac H2O	
953	Germanium(IV) iodide	GeI4	13450-95-8	580.23	red-oran cub cry	146	377	4.322		reac H2O	
954	Germanium(IV) nitride	Ge3N4	12065-36-0	273.86	orth cry	900 dec				i H2O, acid, aqua regia	
955	Germanium(IV) oxide	GeO2	1310-53-8	104.61	wh hex cry	1115		4.25		i H2O	
956	Germanium(IV) selenide	GeSe2	12065-11-1	230.53	yel-oran orth ccry	707 dec		4.56			
957	Germanium(IV) sulfide	GeS2	12025-34-2	136.74	blk orth cry	530		3.01			
958	Gold	Au	7440-57-5	196.967	soft yel metal	1064.18	2856	19.3		s aqua regia	
959	Bromoauric acid pentahydrate	HAuBr4  5H2O	17083-68-0	607.667	red-brn hyg cry	27				s H2O, EtOH	
960	Chloroauric acid tetrahydrate	HAuCl4  4H2O	16903-35-8	411.847	yel monocl cry; hyg			3.9		vs H2O, EtOH; s eth	
961	Gold(I) bromide	AuBr	10294-27-6	276.871	yel-gray tetr cry	165 dec		8.2		i H2O	
962	Gold(I) chloride	AuCl	10294-29-8	232.42	yel orth cry	289 dec		7.6	0.0000312		
963	Gold(I) cyanide	AuCN	506-65-0	222.985	yel hex cry	dec		7.2		i H2O, EtOH, eth, dil acid	
964	Gold(I) iodide	AuI	10294-31-2	323.871	yel-grn powder; tetr	120 dec		8.25		i H2O; s CN soln	
965	Gold(I) sulfide	Au2S	1303-60-2	425.999	brn-blk cub cry; unstable	240 dec		11		i H2O, acid; s aqua regia	
966	Gold(III) bromide	AuBr3	10294-28-7	436.679	red-br monocl cry	160 dec				s H2O, EtOH	
967	Gold(III) chloride	AuCl3	13453-07-1	303.325	red monocl cry	>160 dec		4.7	6820		
968	Gold(III) cyanide trihydrate	Au(CN)3  3H2O	535-37-5*	329.065	wh hyg cry	50 dec				vs H2O; sl EtOH	
969	Gold(III) fluoride	AuF3	14720-21-9	253.962	oran-yel hex cry	>300	subl	6.75			
970	Gold(III) hydroxide	Au(OH)3	1303-52-2	247.989	brn powder	100 dec				i H2O; s acid	
971	Gold(III) iodide	AuI3	31032-13-0	577.68	unstable grn powder	20 dec					
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
972	Gold(III) oxide	Au2O3	1303-58-8	441.931	brn powder	150 dec				i H2O; s acid	
973	Gold(III) selenate	Au2(SeO4)3	10294-32-3	822.81	yel cry					i H2O; s acid	
974	Gold(III) selenide	Au2Se3	1303-62-4	630.81	blk amorp solid	dec		4.65		s aqua regia	
975	Gold(III) sulfide	Au2S3	1303-61-3	490.131	unstable blk powder	200 dec					
976	Hafnium	Hf	7440-58-6	178.49	gray metal; hex	2233	4603	13.3		s HF	
977	Hafnium boride	HfB2	12007-23-7	200.11	gray hex cry	3100		10.5			
978	Hafnium(IV) bromide	HfBr4	13777-22-5	498.11	wh cub cry	424 tp	323 sp	4.9			
979	Hafnium carbide	HfC	12069-85-1	190.5	refrac cub cry	3000		12.2			
980	Hafnium(IV) chloride	HfCl4	13499-05-3	320.3	wh monocl cry	432 tp	317 sp			reac H2O	
981	Hafnium fluoride	HfF4	13709-52-9	254.48	wh monocl cry	>970	970 sp	7.1			
982	Hafnium hydride	HfH2	12770-26-2	180.51	refrac tetr cry			11.4			
983	Hafnium iodide	HfI4	13777-23-6	686.11	yel-oran cub cry	449 tp	394 sp	5.6			
984	Hafnium nitride	HfN	25817-87-2	192.5	yel-brn cub cry	3305		13.8			
985	Hafnium oxide	HfO2	12055-23-1	210.49	wh cub cry	2774		9.68		i H2O	
986	Hafnium oxychloride octahydrate	HfOCl2  8H2O	14456-34-9	409.52	wh tetr cry	dec				s H2O	
987	Hafnium phosphide	HfP	12325-59-6	209.46	hex cry			9.78			
988	Hafnium selenide	HfSe2	12162-21-9	336.41	brn hex cry			7.46			
989	Hafnium orthosilicate	HfSiO4	13870-13-8	270.57	tetr cry			7			
990	Hafnium silicide	HfSi2	12401-56-8	234.66	gray orth cry	1700		7.6			
991	Hafnium sulfate	Hf(SO4)2	15823-43-5	370.62	wh cry	>500 dec					
992	Hafnium sulfide	HfS2	18855-94-2	242.62	purp-brn hex cry			6.03			
993	Helium	He	7440-59-7	4.003	col gas		-268.93	0.164 g/L		sl H2O; i EtOH	
994	Holmium	Ho	7440-60-0	164.93	silv metal; hex	1474	2700	8.8		s dil acid	
995	Holmium bromide	HoBr3	13825-76-8	404.642	yel hyg cry	919	1470				
996	Holmium chloride	HoCl3	10138-62-2	271.288	yel monocl cry; hyg	718	1500	3.7		s H2O	
997	Holmium fluoride	HoF3	13760-78-6	221.925	pink-yel orth cry; hyg	1143	>2200	7.664		s H2O	
998	Holmium iodide	HoI3	13813-41-7	545.643	yel hex cry	994		5.4			
999	Holmium nitride	HoN	12029-81-1	178.937	cub cry			10.6			
1000	Holmium oxide	Ho2O3	12055-62-8	377.859	yel cub cry	2330	3900	8.41		s acid	
1001	Holmium silicide	HoSi2	12136-24-2	221.101	hex cry			7.1			
1002	Holmium sulfide	Ho2S3	12162-59-3	426.059	yel-oran monocl cry			5.92			
1003	Hydrazine	N2H4	302-01-2	32.045	col oily liq	1.4	113.55	1.0036		vs H2O, EtOH, MeOH	
1004	Hydrazine hydrate	N2H4  H2O	7803-57-8	50.06	fuming liq	-51.7	119	1.03		vs H2O, EtOH; i chl, eth	
1005	Hydrazine hydrobromide	N2H4  HBr	13775-80-9	112.957	wh monocl cry flakes	84	190 dec	2.3		s H2O, EtOH	
1006	Hydrazine hydrochloride	N2H4  HCl	2644-70-4	68.506	wh orth cry	89	240 dec	1.5		s H2O; i os	
1007	Hydrazine dihydrochloride	N2H4  2HCl	5341-61-7	104.966	wh orth cry	198 dec		1.42		s H2O; sl EtOH	
1008	Hydrazine hydroiodide	N2H4  HI	10039-55-1	159.957	hyg cry	125				s H2O	
1009	Hydrazine nitrate	N2H4  HNO3	13464-97-6	95.058	monocl cry; exp	70				vs H2O	
1010	Hydrazine sulfate	N2H4  H2SO4	10034-93-2	130.125	col orth cry	254		1.378		sl H2O; i EtOH	
1011	Hydrazoic acid	HN3	7782-79-8	43.028	col liq; exp	-80	35.7			s H2O	
1012	Hydroxylamine	H2NOH	7803-49-8	33.03	wh orth flakes or needles	33.1	58	1.21		vs H2O, MeOH	
1013	Hydroxylamine sulfate	(H2NOH)2  H2SO4	10039-54-0	164.139	cry	170				vs H2O	
1014	Hydrogen	H2	1333-74-0	2.016	col gas; flam	-259.198 tp	-252.762	0.082 g/L		sl H2O	
1015	Hydrogen bromide	HBr	10035-10-6	80.912	col gas	-86.8	-66.38	3.307 g/L		vs H2O; s EtOH	
1016	Hydrogen chloride	HCl	7647-01-0	36.461	col gas	-114.17	-85	1.490 g/L		vs H2O	
											
1017	Hydrogen chloride dihydrate	HCl  2H2O	13465-05-9	72.492	col liq	-17.7		1.46			
1018	Hydrogen cyanide	HCN	74-90-8	27.026	col liq	-13.29	26	0.684		vs H2O, EtOH; sl eth	
1019	Hydrogen fluoride	HF	7664-39-3	20.006	col gas	-83.35	20	0.818 g/L		vs H2O, EtOH; sl eth	
1020	Hydrogen iodide	HI	10034-85-2	127.912	col or yel gas	-50.76	-35.55	5.228 g/L		vs H2O; s os	
1021	Hydrogen peroxide	H2O2	7722-84-1	34.015	col liq	-0.43	150.2	1.44		vs H2O	
1022	Hydrogen selenide	H2Se	7783-07-5	80.98	col gas; flam	-65.73	-41.25	3.310 g/L		s H2O	
1023	Hydrogen sulfide	H2S	7783-06-4	34.082	col gas; flam	-85.5	-59.55	1.393 g/L		s H2O	
1024	Hydrogen disulfide	H2S2	13465-07-1	66.148	col liq		70.7	1.334			
1025	Hydrogen telluride	H2Te	7783-09-7	129.62	col gas	-49	-2	5.298 g/L		s H2O, EtOH, alk	
1026	Indium	In	7440-74-6	114.818	soft wh metal	156.6	2072	7.31		s acid	
1027	Indium antimonide	InSb	1312-41-0	236.578	blk cub cry	525		5.7747			
1028	Indium arsenide	InAs	1303-11-3	189.74	gray cub cry	942		5.67		i acid	
1029	Indium nitride	InN	25617-98-5	128.825	hex cry	1100		6.88			
1030	Indium phosphide	InP	22398-80-7	145.792	blk cub cry	1062		4.81		sl acid	
1031	Indium(I) bromide	InBr	14280-53-6	194.722	oran-red orth cry	290	656	4.96		reac H2O	
1032	Indium(I) chloride	InCl	13465-10-6	150.271	yel cub cry	211	608	4.19		reac H2O	
1033	Indium(I) iodide	InI	13966-94-4	241.722	orth cry	364.4	712	5.32			
1034	Indium(II) bromide	InBr2	21264-43-7	274.626	orth cry			4.22		reac H2O	
1035	Indium(II) chloride	InCl2	13465-11-7	185.723	col orth cry	235		3.64		reac H2O	
1036	Indium(II) sulfide	InS	12030-14-7	146.884	red-brn orth cry	692		5.2			
1037	Indium(III) bromide	InBr3	13465-09-3	354.53	hyg yel-wh monocl cry	420		4.74	41420		
1038	Indium(III) chloride	InCl3	10025-82-8	221.176	yel monocl cry; hyg	583		4	195.122	s EtOH	
1039	Indium(III) fluoride	InF3	7783-52-0	171.813	wh hex cry; hyg	1170	>1200	4.39		sl H2O; s dil acid	
1040	Indium(III) fluoride trihydrate	InF3  3H2O	14166-78-0	225.859	wh cry	100 dec				s H2O	
1041	Indium(III) hydroxide	In(OH)3	20661-21-6	165.84	cub cry			4.4			
1042	Indium(III) iodide	InI3	13510-35-5	495.531	yel-red monocl cry; hyg	207		4.69	130822		
1043	Indium(III) oxide	In2O3	1312-43-2	277.634	yel cub cry	1912		7.18		i H2O; s hot acid	
1044	Indium(III) perchlorate octahydrate	In(ClO4)3  8H2O	13465-15-1	557.291	wh cry	80	200 dec				
1045	Indium(III) phosphate	InPO4	14693-82-4	209.789	wh orth cry			4.9		i H2O	
1046	Indium(III) selenide	In2Se3	1312-42-1	466.52	blk hex cry	660		5.8			
1047	Indium(III) sulfate	In2(SO4)3	13464-82-9	517.827	hyg wh powder			3.44	11720		
1048	Indium(III) sulfide	In2S3	12030-24-9	325.834	oran cub cry	1050		4.45			
1049	Indium(III) telluride	In2Te3	1312-45-4	612.44	blk cub cry	667		5.75			
1050	Iodine	I2	7553-56-2	253.809	blue-blk plates	113.7	184.4	4.933	0.032	s bz, EtOH, eth, ctc, chl	
1051	Iodic acid	HIO3	7782-68-5	175.91	col orth cry	110 dec		4.63	30825	i EtOH, eth	
1052	Periodic acid dihydrate	HIO4  2H2O	10450-60-9	227.94	monocl hyg cry	122 dec				s H2O, EtOH; sl eth	
1053	Iodine tetroxide	I2O4	12399-08-5	317.807	yel cry	85 dec		4.2		sl H2O	
1054	Iodine pentoxide	I2O5	12029-98-0	333.806	hyg wh cry	300 dec		4.98	253.42	i EtOH, eth, CS2	
1055	Iodine nonaoxide	I4O9	73560-00-6	651.613	hyg yel powder	75 dec					
1056	Iodine bromide	IBr	7789-33-5	206.808	blk orth cry	40	116 dec	4.3		s H2O, EtOH, eth	
1057	Iodine chloride	ICl	7790-99-0	162.357	red cry or oily liq	27.39	100 dec	3.24		reac H2O; s EtOH	
1058	Iodine trichloride	ICl3	865-44-1	233.262	yel tricl cry; hyg	101 tp (16 atm)	64 sp dec	3.2		reac H2O; s EtOH, bz	
1059	Iodine fluoride	IF	13873-84-2	145.902	disproportionates at room temp						
1060	Iodine trifluoride	IF3	22520-96-3	183.899	yel solid, stable at low temp	-28 dec					
1061	Iodine pentafluoride	IF5	7783-66-6	221.896	yel liq	9.43	100.5	3.19		reac H2O	
1062	Iodine heptafluoride	IF7	16921-96-3	259.893	col gas	6.5 tp	4.8 sp	10.62 g/L		s H2O	
1063	Iridium	Ir	7439-88-5	192.217	silv-wh metal; cub	2446	4428	22.5		s aqua regia	
1064	Iridium(III) sulfide	Ir2S3	12136-42-4	480.632	orth cry			10.2			
No.	Name	Formula	"CAS
Reg No."	"Mol.
Weigh"	"Physical
Form"	mp/°C	bp/°C	"Density
g cm–3"	"Solubility
g/100 g 2HO"	"Qualitative
Solubility"	
1065	Iridium(III) bromide	IrBr3	10049-24-8	431.929	red-brn monocl cry			6.82		i H2O, acid, alk	
1066	Iridium(III) bromide tetrahydrate	IrBr3  4H2O	10049-24-8*	503.991	grn-brn cry					s H2O; i EtOH	
1067	Iridium(III) chloride	IrCl3	10025-83-9	298.575	brn monocl cry	763 dec		5.3		i H2O, acid, alk	
1068	Iridium(III) fluoride	IrF3	23370-59-4	249.212	blk hex cry	250 dec		8.0		i H2O, dil acid	
1069	Iridium(III) iodide	IrI3	7790-41-2	572.93	dark brn monocl cry			7.4		i H2O, acid, bz, chl; s alk	
1070	Iridium(III) oxide	Ir2O3	1312-46-5	432.432	blue-blk cry	1000 dec				i H2O; sl hot HCl	
1071	Iridium(IV) chloride	IrCl4	10025-97-5	334.028	brn hyg solid	700 dec				s H2O, EtOH	
1072	Iridium(IV) oxide	IrO2	12030-49-8	224.216	brn tetr cry	1100 dec		11.7			
1073	Iridium(IV) sulfide	IrS2	12030-51-2	256.349	orth cry			9.3			
1074	Iridium(VI) fluoride	IrF6	7783-75-7	306.207	yel cub cry; hyg	44	53.6	4.8		reac H2O	
1075	Iron	Fe	7439-89-6	55.845	silv-wh or gray met	1538	2861	7.87		s dil acid	
1076	Ferrocene	Fe(C5H5)2	102-54-5	186.031	oran needles	172.5	249			i H2O; s EtOH, eth, bz, dil HNO3	
1077	Iron pentacarbonyl	Fe(CO)5	13463-40-6	195.896	yel oily liq; flam	-20	103	1.49		i H2O; s eth, bz, ace	
1078	Iron nonacarbonyl	Fe2(CO)9	15321-51-4	363.781	oran-yel cry	100 dec		2.85			
1079	Iron dodecacarbonyl	Fe3(CO)12	12088-65-2	503.656	blk cry	140		2			
1080	Iron hydrocarbonyl	FeH2(CO)4	17440-90-3	169.902	col liq; unstable	-70	dec			s alk	
1081	Iron arsenide	FeAs	12044-16-5	130.767	gray orth cry	1030		7.85			
1082	Iron boride	FeB	12006-84-7	66.656	refr solid; orth	1650		7			
1083	Iron boride	Fe2B	12006-86-9	122.501	refr solid; tetr	1389		7.3			
1084	Iron carbide	Fe3C	12011-67-5	179.546	gray cub cry	1227		7.694			
1085	Iron phosphide	FeP	26508-33-8	86.819	rhom cry			6.07			
1086	Iron phosphide	Fe2P	1310-43-6	142.664	gray hex needles	1370		6.8		i H2O, dil acid, alk	
1087	Iron phosphide	Fe3P	12023-53-9	198.509	gray solid	1100		6.74		i H2O	
1088	Iron disulfide	FeS2	1317-66-4	119.977	blk cub cry	>600 dec		5.02		i H2O	
1089	Iron silicide	FeSi	12022-95-6	83.931	gray cub cry	1410		6.1			
1090	Iron silicide	FeSi2	12022-99-0	112.016	gray tetr cry	1220		4.74			
1091	Iron(II) aluminate	Fe(AlO2)2	12068-49-4	173.806	blk cub cry			4.3			
1092	Iron(II) arsenate	Fe3(AsO4)2	10102-50-8	445.373	grn pow					i H2O	
1093	Iron(II) arsenate hexahydrate	Fe3(AsO4)2  6H2O	10102-50-8*	553.465	grn amorp pow	dec				i H2O; s acid	
1094	Iron(II) bromide	FeBr2	7789-46-0	215.653	yel-brn hex cry; hyg	691	dec	4.636	12025	vs EtOH	
1095	Iron(II) bromide hexahydrate	FeBr2  6H2O	13463-12-2	323.744	grn hyg cry	27 dec		4.64	12025	s EtOH	
1096	Iron(II) carbonate	FeCO3	563-71-3	115.854	gray-brn hex cry			3.9	0.0000622		
1097	Iron(II) chloride	FeCl2	7758-94-3	126.75	wh hex cry; hyg	677	1023	3.16	65.025	vs EtOH, ace; sl bz	
1098	Iron(II) chloride dihydrate	FeCl2  2H2O	16399-77-2	162.781	wh-grn monocl cry	120 dec		2.39	65.025		
1099	Iron(II) chloride tetrahydrate	FeCl2  4H2O	13478-10-9	198.812	grn monocl cry	105 dec		1.93	65.025	s EtOH	
1100	Iron(II) chromite	FeCr2O4	1308-31-2	223.835	blk cub cry			5			
1101	Iron(II) fluoride	FeF2	7789-28-8	93.842	wh tetr cry	1100		4.09		sl H2O; s dil HF; i EtOH, eth	
1102	Iron(II) fluoride tetrahydrate	FeF2  4H2O	13940-89-1	165.904	col hex cry			2.2			
1103	Iron(II) hydroxide	Fe(OH)2	18624-44-7	89.86	wh-grn hex cry			3.4	0.0000522		
1104	Iron(II) iodide	FeI2	7783-86-0	309.654	red-viol hex cry; hyg	587		5.3		s H2O, EtOH, eth	
